Unnamed: 0,follower_count,friend_count,geo,location,name,place,retweet_count,screen_name,source,status_id,status_text,time_zone,tmstamp,pricing,free,promo,service,fast,slow,movie_game,texting
183,1378,1991,,montes claros mg,fabricio,,0,djfabriciocjmg,,592116227906076672,Vixi... Esses rakers é muito foda.. Invadem até o email do presidente do EUA http://t.co/UiJcRZ3sFR,,Sun Apr 26 00:01:24 +0000 2015,0,0,0,0,0,0,0,0
184,306,424,,"Chicago, IL",Sanjana Karanth,,125,sanjanakaranth,,592116227738312704,"RT @rolandsmartin: If the unrest continues in Baltimore, Pres Obama should junk the jokes &amp; give a real speech on the reality of police bru…",,Sun Apr 26 00:01:24 +0000 2015,0,0,0,0,0,0,0,0
185,682,1382,,Crap part of Astoria,Mike,,0,RealMikeSalerno,,592116227503497216,@smclaughlin9 what part of this is surprising? btw Tom Brady is the white devil because he said no to President Obama.,Eastern Time (US & Canada),Sun Apr 26 00:01:24 +0000 2015,0,0,0,0,0,0,0,0
186,41,69,,,Dale ,,0,fakebobbygatlin,,592116226362605569,Most every Monday I wake up to see what freedoms Obama has stolen from me #GOP #teaparty,Central Time (US & Canada),Sun Apr 26 00:01:24 +0000 2015,0,1,0,0,0,0,0,0
187,207,231,,www.facebook.com/stuntfm,STUNTFM 97.3,,0,stuntfmc,,592116225704079361,"New post (Obama's comedy, Hollywood stargazing to be top draw at White House Correspondents' Dinner) has been... http://t.co/7BdD8IYf1d",West Central Africa,Sun Apr 26 00:01:23 +0000 2015,0,0,0,0,0,0,0,0
188,29,214,,"Upland,CA",Robin,,0,robineforbes,,592116223929917440,Bombshell interview: Malik Obama says Barack is cold and ruthless - Allen B. West - http://t.co/ObCXnlrf1E http://t.co/ocnKOHiJoi,,Sun Apr 26 00:01:23 +0000 2015,0,0,0,0,0,0,0,0
189,712,884,"{u'type': u'Point', u'coordinates': [0.0, 0.0]}",Great Lakes,deafear,"{u'full_name': u'Racine, WI', u'url': u'https://api.twitter.com/1.1/geo/id/ce3b7b6f88f0b308.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-87.877863, 42.677972], [-87.770388, 42.677972], [-87.770388, 42.799314], [-87.877863, 42.799314]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'ce3b7b6f88f0b308', u'name': u'Racine'}",0,deafear,,592116221585285120,Warren to Obama Stop making 'untrue' trade claims #DeclassifyTPP  http://t.co/80a9lxrk5R @ExposeTPP @CAFalk #notpp @Teamsters @wwaflcio,Hawaii,Sun Apr 26 00:01:22 +0000 2015,0,0,0,0,0,0,0,0
190,1895,1647,,"Washington, DC",U.S. News Opinion,,0,USNewsOpinion,,592116220356403201,Opponents of Obama's trade deals are living in the past http://t.co/xzT8L0FOsf,Eastern Time (US & Canada),Sun Apr 26 00:01:22 +0000 2015,0,0,0,0,0,0,0,0
191,766,1996,,orrville | athens | the sea,Tessa Brediger,,15,TessaBrediger,,592116218255024129,RT @TIME: Watch live: The annual White House Correspondents' Dinner http://t.co/2DTxRiMYaU,Atlantic Time (Canada),Sun Apr 26 00:01:22 +0000 2015,0,0,0,0,0,0,0,0
192,199,319,,,bob bob,,28,roses1241,,592116218158456832,RT @Conserv_Babe: Keep in mind Hillary won't undo anything Obama has done. They are one in the same. #StopHillary2016 #2a #PJNET #TCOT http…,,Sun Apr 26 00:01:22 +0000 2015,0,0,0,0,0,0,0,0
193,290,649,,,Random Twitmeister,,4,LarryJones46,,592116218103988226,RT @BraveConWarrior: Megyn Kelly Takes Obama Spokeswoman Marie Harf to the Woodshed! http://t.co/YQMH46C4FC,,Sun Apr 26 00:01:22 +0000 2015,0,0,0,0,0,0,0,0
194,134,169,,Far from home,Brian,,165,ThaHennySipper,,592116215583113216,RT @Classic_picx: President Barack Obama on vacation with his family in Hawaii in 2007. http://t.co/Om6szRiBG7,Pacific Time (US & Canada),Sun Apr 26 00:01:21 +0000 2015,0,0,0,0,0,0,0,0
195,19,86,,,Marion ,,35,MaidmaeMarion,,592116213872009218,"RT @thehill: Elizabeth Warren slams Obama for making ""untrue"" claims about opponents of trade deal: http://t.co/umwOkkOUbE http://t.co/ar5A…",,Sun Apr 26 00:01:21 +0000 2015,0,0,0,0,0,0,0,0
196,865,1070,,,mglessman,,8,mglessman,,592116212412190721,"RT @Linnlondon1: Obama/Hillary MADE THIS  
#Benghazi  https://t.co/9JIQjV5Vya",,Sun Apr 26 00:01:20 +0000 2015,0,0,0,0,0,0,0,0
197,4946,4894,,Tokyo/Yokohama Japan,Telly,,0,TellyStern,,592116207488110592,If Obama Admin including Hillary had told the truth there would be no #Benghazi probe https://t.co/6f0sCgSMfy,Tokyo,Sun Apr 26 00:01:19 +0000 2015,0,0,0,0,0,0,0,0
198,71,22,,#nerdprom,WHCD,,5,NerdPromTweets,,592116202777944066,"RT @GottaLaff: Has Fox ""News"" reported on how terrible President Obama's #WHCD stand-up is yet? He'll be on in 90 minutes. #NerdProm",,Sun Apr 26 00:01:18 +0000 2015,0,0,0,0,0,0,0,0
199,3,20,,,Ronald Beaubien,,0,BeaubienRon,,592116199900590080,Funny story all year media rips Obama on his spending then media spends hundreds to eat &amp; laugh there,,Sun Apr 26 00:01:17 +0000 2015,0,0,0,0,0,0,0,0
